categoryid,parentid,categoryname,categoryorder,categoryvisible,alternateurl,lastmodified,category_displaymode,subcategory_displaymode1,display_columns,display_rows,display_showlistprice,display_showyousave,display_showdescriptionshort,display_showavailability,display_featuredproductsonly,rootid,metatag_title,metatag_description,default_sortby,link_title_tag,category_graphic_placement,filtercategory,categorydescriptionshort,categorydescription,metatag_keywords,categorydescription_belowproducts,custom_where_clause,hidden,breadcrumb,photoseed,subcategory_displaymode1_responsive,subcategory_displaycolumns_responsive
271,258,Ecco,,,,5/9/2016 14:55,,,,,,,,,,1,,,Newest,Ecco,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Ecco',N,ALL MEN'S SHOES > Brands,,0,3
272,258,Florsheim,,,,5/9/2016 14:55,,,,,,,,,,1,,,Newest,Florsheim,,N,,,,,(ProductDescriptionShort = 'Mens' or ProductDescriptionShort = 'Men''s') and ProductManufacturer = 'Florsheim',N,ALL MEN'S SHOES > Brands,,0,3
273,258,Gravity Defyer,,,,5/9/2016 14:56,,,,,,,,,,1,,,Newest,Gravity_Defyer,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Gravity Defyer',N,ALL MEN'S SHOES > Brands,,0,3
274,258,Hush Puppy,,,,7/7/2015 15:06,,,,,,,,,,1,,,,Hush_Puppy,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Hush Puppy',Y,ALL MEN'S SHOES > Brands,,0,3
275,258,Intrigo,,,,6/14/2016 12:54,,,,,,,,,,1,,,Newest,Intrigo,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Intrigo',Y,ALL MEN'S SHOES > Brands,,0,3
276,258,Johnston & Murphy,,,,5/9/2016 14:58,,,,,,,,,,1,,,Newest,Johnston_and_Murphy,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Johnston & Murphy',N,ALL MEN'S SHOES > Brands,,0,3
277,258,Keen,,,,5/9/2016 14:59,,,,,,,,,,1,,,Newest,Keen,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Keen',N,ALL MEN'S SHOES > Brands,,0,3
278,258,Laredo,,,,6/14/2016 12:55,,,,,,,,,,1,,,Newest,Laredo,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Laredo',Y,ALL MEN'S SHOES > Brands,,0,3
279,258,Lems,,,,7/7/2015 15:06,,,,,,,,,,1,,,,Lems,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Lems',Y,ALL MEN'S SHOES > Brands,,0,3
280,258,Merrell,,,,5/9/2016 15:00,,,,,,,,,,1,,,Newest,Merrell,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Merrell',N,ALL MEN'S SHOES > Brands,,0,3
